"filename", "language", "Python", "Markdown", "CSS", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"d:\PicHub\mysite\templates\project\project.html", "HTML", 0, 0, 0, 0, -273, 0, -2, -19, -294
"d:\PicHub\mysite\templates\project\project_files.html", "HTML", 0, 0, 0, 0, -167, 0, -2, -14, -183
"d:\PicHub\mysite\templates\project\project_settings.html", "HTML", 0, 0, 0, 0, -42, 0, 0, -5, -47
"d:\PicHub\mysite\templates\project\project_settings_addfiles.html", "HTML", 0, 0, 0, 0, -32, 0, 0, -2, -34
"d:\PicHub\mysite\templates\project\project_settings_delete.html", "HTML", 0, 0, 0, 0, -49, 0, 0, -3, -52
"d:\PicHub\mysite\templates\project\project_settings_edit.html", "HTML", 0, 0, 0, 0, -79, 0, 0, -5, -84
"d:\PicHub\mysite\templates\project_settings_addfiles.html", "HTML", 0, 0, 0, 0, -26, 0, 0, -2, -28
"d:\PicHub\mysite\templates\registration\logged_out.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\PicHub\mysite\templates\registration\login.html", "HTML", 0, 0, 0, 0, -42, 0, 0, 0, -42
"d:\PicHub\mysite\templates\registration\register.html", "HTML", 0, 0, 0, 0, -42, 0, 0, 0, -42
"d:\PicHub\mysite\tests.py", "Python", -1, 0, 0, 0, 0, 0, -1, -2, -4
"d:\PicHub\mysite\urls.py", "Python", -33, 0, 0, 0, 0, 0, -37, -4, -74
"d:\PicHub\mysite\views.py", "Python", -486, 0, 0, 0, 0, 0, -167, -91, -744
"Total", "-", -979, -259, -2871, -92, -1724, -1, -415, -715, -7056
